id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
1007,20000 - 35000,buen clima,playa,Servicios Financieros,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1008,60000 - 100000,buen clima,ciudad,Tecnología,Navarra,No,diesel,uso particular habitual,Manual,Si
1009,12000 - 20000,buen clima,ciudad,Salud,Extremadura,No,gasolina,uso particular ocasional,Manual,Si
1010,20000 - 35000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1011,- 12000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1012,60000 - 100000,buen clima,playa,Comercio,Castilla y León,"Si, grande",diesel,viajes largos,Manual,Si
1013,12000 - 20000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1014,- 12000,buen clima,ciudad,Energía,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1015,35000-60000,buen clima,montaña,Energía,Canarias,No,gasolina,uso particular ocasional,Automatico,No
1016,60000 - 100000,buen clima,playa,Tecnología,Murcia,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1017,60000 - 100000,buen clima,playa,Tecnología,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,No
1018,60000 - 100000,buen clima,playa,Comercio,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
1019,+ 100000,off-road,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1020,12000 - 20000,buen clima,playa,Tecnología,Canarias,"Si, pequeña",electrico,uso particular ocasional,Manual,No
1021,35000-60000,buen clima,montaña,Salud,Murcia,No,diesel,viajes largos,Manual,Si
1022,35000-60000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1023,35000-60000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",gasolina,viajes largos,Automatico,Si
1024,20000 - 35000,buen clima,montaña,Turismo y Ocio,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si
1025,+ 100000,buen clima,ciudad,Salud,Asturias,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
1026,+ 100000,off-road,montaña,Servicios Financieros,Andalucía,No,hibrido,viajes largos,Automatico,Si
1027,12000 - 20000,buen clima,montaña,Otros,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1028,35000-60000,buen clima,montaña,Comercio,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
1029,20000 - 35000,nieve,ciudad,Turismo y Ocio,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,No
1030,20000 - 35000,off-road,montaña,Transporte y Logística,Navarra,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1031,12000 - 20000,buen clima,ciudad,Tecnología,Baleares,No,diesel,viajes largos,Manual,No
1032,12000 - 20000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1033,- 12000,buen clima,montaña,Salud,Galicia,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1034,35000-60000,buen clima,ciudad,Servicios Financieros,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,Si
1035,35000-60000,buen clima,montaña,Servicios Financieros,Aragón,"Si, grande",hibrido,uso particular habitual,Automatico,Si
1036,12000 - 20000,off-road,playa,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
1037,35000-60000,buen clima,playa,Energía,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1038,20000 - 35000,buen clima,ciudad,Salud,Cantabria,No,gasolina,uso particular habitual,Automatico,Si
1039,35000-60000,buen clima,ciudad,Turismo y Ocio,Extremadura,"Si, grande",diesel,uso particular habitual,Manual,Si
1040,20000 - 35000,buen clima,montaña,Comercio,Andalucía,"Si, grande",diesel,uso particular habitual,Automatico,Si
1041,35000-60000,buen clima,montaña,Comercio,Cataluña,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1042,60000 - 100000,buen clima,ciudad,Salud,Andalucía,No,diesel,uso particular ocasional,Automatico,No
1043,60000 - 100000,buen clima,ciudad,Salud,Asturias,No,diesel,uso particular ocasional,Manual,Si
1044,- 12000,buen clima,playa,Comercio,Canarias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1045,20000 - 35000,nieve,montaña,Turismo y Ocio,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1046,35000-60000,nieve,montaña,Turismo y Ocio,Extremadura,"Si, grande",diesel,uso particular habitual,Manual,Si
1047,20000 - 35000,buen clima,ciudad,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,viajes largos,Manual,No
1048,12000 - 20000,buen clima,playa,Industria Construccion y Manufactura,Extremadura,No,gasolina,uso particular ocasional,Manual,Si
1049,20000 - 35000,buen clima,montaña,Turismo y Ocio,Canarias,"Si, pequeña",electrico,uso particular ocasional,Manual,No
1050,12000 - 20000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1051,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1052,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Aragón,No,gasolina,uso particular habitual,Manual,Si
1053,12000 - 20000,buen clima,playa,Energía,Castilla y León,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
1054,20000 - 35000,off-road,montaña,Energía,Canarias,No,gasolina,uso particular ocasional,Automatico,Si
1055,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,No,gasolina,uso particular habitual,Manual,Si
1056,12000 - 20000,nieve,playa,Servicios Financieros,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1057,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Murcia,"Si, grande",diesel,uso particular ocasional,Manual,No
1058,60000 - 100000,buen clima,montaña,Salud,Baleares,No,gasolina,uso particular ocasional,Automatico,No
1059,60000 - 100000,buen clima,montaña,Energía,Canarias,"Si, pequeña",hibrido,uso particular ocasional,Automatico,No
1060,12000 - 20000,off-road,ciudad,Industria Construccion y Manufactura,Asturias,"Si, pequeña",gasolina,viajes largos,Automatico,Si
1061,- 12000,buen clima,ciudad,Industria Construccion y Manufactura,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,Si
1062,35000-60000,buen clima,playa,Industria Construccion y Manufactura,Asturias,No,gasolina,uso particular ocasional,Manual,Si
1063,20000 - 35000,off-road,montaña,Servicios Financieros,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1064,60000 - 100000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
1065,20000 - 35000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",diesel,viajes largos,Manual,Si
1066,60000 - 100000,buen clima,ciudad,Salud,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1067,20000 - 35000,buen clima,montaña,Servicios Financieros,Cantabria,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
1068,12000 - 20000,buen clima,ciudad,Tecnología,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si
1069,20000 - 35000,buen clima,montaña,Transporte y Logística,Madrid,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1070,- 12000,nieve,montaña,Salud,Andalucía,No,hibrido,uso particular habitual,Manual,No
1071,12000 - 20000,buen clima,montaña,Salud,Extremadura,"Si, grande",electrico,uso particular habitual,Manual,Si
1072,- 12000,buen clima,montaña,Entretenimiento y Medios,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1073,20000 - 35000,off-road,playa,Otros,Aragón,"Si, pequeña",gasolina,viajes largos,Manual,Si
1074,35000-60000,buen clima,ciudad,Comercio,Andalucía,No,electrico,uso particular ocasional,Manual,No
1075,35000-60000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,viajes largos,Manual,No
1076,- 12000,nieve,ciudad,Comercio,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1077,+ 100000,buen clima,montaña,Tecnología,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1078,60000 - 100000,buen clima,montaña,Salud,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1079,20000 - 35000,off-road,montaña,Transporte y Logística,Cataluña,"Si, grande",hibrido,uso particular habitual,Manual,Si
1080,60000 - 100000,buen clima,montaña,Tecnología,Baleares,No,diesel,uso particular ocasional,Manual,No
1081,12000 - 20000,buen clima,montaña,Energía,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1082,20000 - 35000,nieve,playa,Salud,Andalucía,"Si, grande",gasolina,uso particular habitual,Manual,Si
1083,35000-60000,buen clima,montaña,Salud,Andalucía,"Si, grande",gasolina,uso particular habitual,Automatico,No
1084,20000 - 35000,nieve,montaña,Industria Construccion y Manufactura,Andalucía,No,electrico,uso particular ocasional,Manual,Si
1085,35000-60000,buen clima,ciudad,Tecnología,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,No
1086,- 12000,buen clima,ciudad,Transporte y Logística,Andalucía,"Si, grande",electrico,uso particular habitual,Manual,No
1087,12000 - 20000,nieve,playa,Tecnología,Aragón,"Si, pequeña",hibrido,uso particular habitual,Manual,No
1088,35000-60000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",electrico,uso particular habitual,Manual,No
1089,20000 - 35000,buen clima,montaña,Tecnología,Extremadura,"Si, grande",electrico,uso particular habitual,Manual,No
1090,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Galicia,No,gasolina,uso particular ocasional,Automatico,No
1091,35000-60000,nieve,playa,Tecnología,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,Si
1092,35000-60000,nieve,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1093,12000 - 20000,buen clima,ciudad,Otros,Baleares,No,diesel,uso particular ocasional,Manual,No
1094,20000 - 35000,nieve,playa,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1095,20000 - 35000,buen clima,playa,Turismo y Ocio,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1096,12000 - 20000,nieve,montaña,Energía,Galicia,"Si, pequeña",hibrido,uso particular habitual,Automatico,Si
1097,20000 - 35000,buen clima,montaña,Educación,Castilla y León,"Si, pequeña",electrico,uso particular habitual,Manual,Si
1098,60000 - 100000,off-road,ciudad,Salud,La Rioja,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1099,20000 - 35000,off-road,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",gasolina,viajes largos,Automatico,No
1100,20000 - 35000,buen clima,montaña,Tecnología,Cantabria,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1101,20000 - 35000,buen clima,ciudad,Turismo y Ocio,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1102,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,Si
1103,12000 - 20000,buen clima,montaña,Comercio,Castilla y León,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
1104,20000 - 35000,buen clima,ciudad,Energía,Aragón,"Si, grande",hibrido,uso particular habitual,Manual,Si
1105,20000 - 35000,nieve,playa,Energía,Castilla-La Mancha,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1106,- 12000,off-road,montaña,Energía,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,No
1107,12000 - 20000,buen clima,ciudad,Salud,Madrid,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1108,20000 - 35000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,viajes largos,Automatico,No
1109,60000 - 100000,buen clima,ciudad,Energía,Cantabria,No,hibrido,viajes largos,Manual,Si
1110,12000 - 20000,buen clima,ciudad,Comercio,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1111,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,No,electrico,uso particular habitual,Automatico,Si
1112,20000 - 35000,nieve,montaña,Energía,Baleares,"Si, grande",gasolina,uso particular habitual,Automatico,Si
1113,20000 - 35000,buen clima,ciudad,Energía,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1114,12000 - 20000,nieve,montaña,Tecnología,Aragón,"Si, grande",electrico,uso particular ocasional,Manual,Si
1115,- 12000,nieve,montaña,Educación,Castilla-La Mancha,"Si, grande",hibrido,viajes largos,Manual,Si
1116,- 12000,buen clima,montaña,Transporte y Logística,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
1117,12000 - 20000,buen clima,montaña,Tecnología,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1118,20000 - 35000,off-road,ciudad,Otros,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
1119,20000 - 35000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Automatico,Si
1120,60000 - 100000,buen clima,playa,Industria Construccion y Manufactura,Baleares,No,diesel,uso particular habitual,Manual,Si
1121,- 12000,buen clima,ciudad,Servicios Financieros,Extremadura,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1122,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Baleares,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1123,35000-60000,buen clima,montaña,Otros,Murcia,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
1124,20000 - 35000,buen clima,ciudad,Educación,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1125,20000 - 35000,buen clima,ciudad,Comercio,Extremadura,No,gasolina,viajes largos,Manual,No
1126,20000 - 35000,buen clima,ciudad,Educación,Andalucía,"Si, pequeña",hibrido,uso particular habitual,Automatico,Si
1127,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Madrid,"Si, pequeña",electrico,viajes largos,Manual,Si
1128,35000-60000,off-road,montaña,Turismo y Ocio,Murcia,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1129,20000 - 35000,buen clima,montaña,Energía,Canarias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1130,35000-60000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1131,+ 100000,nieve,montaña,Salud,Baleares,"Si, pequeña",electrico,uso particular habitual,Manual,Si
1132,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Andalucía,No,diesel,uso particular ocasional,Automatico,Si
1133,- 12000,buen clima,playa,Salud,Aragón,No,electrico,uso particular ocasional,Manual,Si
1134,35000-60000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1135,12000 - 20000,buen clima,montaña,Energía,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1136,20000 - 35000,off-road,playa,Salud,Galicia,"Si, grande",diesel,uso particular habitual,Manual,Si
1137,60000 - 100000,buen clima,montaña,Salud,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1138,12000 - 20000,buen clima,montaña,Salud,Andalucía,No,gasolina,uso particular habitual,Manual,Si
1139,20000 - 35000,buen clima,montaña,Tecnología,Asturias,No,diesel,uso particular habitual,Manual,Si
1140,12000 - 20000,nieve,montaña,Salud,Madrid,"Si, grande",diesel,uso particular ocasional,Manual,No
1141,- 12000,buen clima,playa,Tecnología,Navarra,No,diesel,uso particular ocasional,Manual,Si
1142,20000 - 35000,buen clima,playa,Tecnología,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Automatico,No
1143,- 12000,buen clima,ciudad,Entretenimiento y Medios,Asturias,No,gasolina,uso particular habitual,Manual,Si
1144,35000-60000,off-road,montaña,Entretenimiento y Medios,Andalucía,"Si, grande",gasolina,viajes largos,Automatico,Si
1145,12000 - 20000,off-road,ciudad,Entretenimiento y Medios,Andalucía,No,hibrido,uso particular ocasional,Manual,No
1146,12000 - 20000,buen clima,playa,Tecnología,Castilla y León,No,gasolina,uso particular ocasional,Automatico,Si
1147,20000 - 35000,buen clima,ciudad,Tecnología,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1148,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, grande",gasolina,uso particular habitual,Manual,No
1149,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, pequeña",gasolina,viajes largos,Automatico,Si
1150,+ 100000,buen clima,montaña,Tecnología,Canarias,No,gasolina,uso particular habitual,Manual,Si
1151,60000 - 100000,nieve,montaña,Tecnología,Galicia,"Si, grande",gasolina,uso particular ocasional,Manual,No
1152,20000 - 35000,buen clima,ciudad,Otros,Aragón,"Si, pequeña",diesel,viajes largos,Manual,Si
1153,12000 - 20000,buen clima,ciudad,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1154,35000-60000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",gasolina,viajes largos,Manual,Si
1155,20000 - 35000,buen clima,playa,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1156,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Asturias,"Si, grande",diesel,viajes largos,Automatico,No
1157,35000-60000,buen clima,playa,Comercio,Aragón,No,diesel,uso particular ocasional,Manual,Si
1158,60000 - 100000,nieve,montaña,Turismo y Ocio,Baleares,No,gasolina,uso particular ocasional,Automatico,No
1159,20000 - 35000,buen clima,montaña,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
1160,20000 - 35000,buen clima,ciudad,Comercio,Murcia,"Si, grande",hibrido,uso particular ocasional,Manual,No
1161,12000 - 20000,buen clima,montaña,Comercio,País Vasco,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1162,60000 - 100000,off-road,montaña,Servicios Financieros,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
1163,20000 - 35000,nieve,playa,Comercio,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,No
1164,12000 - 20000,nieve,playa,Tecnología,Aragón,"Si, pequeña",diesel,viajes largos,Manual,No
1165,- 12000,nieve,playa,Servicios Financieros,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1166,20000 - 35000,buen clima,montaña,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,No
1167,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1168,- 12000,buen clima,ciudad,Entretenimiento y Medios,Asturias,No,electrico,viajes largos,Automatico,No
1169,60000 - 100000,off-road,ciudad,Turismo y Ocio,País Vasco,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
1170,60000 - 100000,buen clima,playa,Otros,Galicia,No,diesel,uso particular habitual,Automatico,No
1171,60000 - 100000,buen clima,ciudad,Servicios Financieros,Navarra,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1172,60000 - 100000,nieve,playa,Educación,Andalucía,"Si, pequeña",diesel,viajes largos,Automatico,No
1173,20000 - 35000,buen clima,ciudad,Salud,Baleares,"Si, grande",electrico,uso particular habitual,Manual,Si
1174,60000 - 100000,off-road,ciudad,Servicios Financieros,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,No
1175,35000-60000,buen clima,montaña,Tecnología,Baleares,No,diesel,uso particular habitual,Automatico,No
1176,20000 - 35000,buen clima,playa,Industria Construccion y Manufactura,Cantabria,"Si, grande",diesel,uso particular ocasional,Manual,Si
1177,+ 100000,nieve,ciudad,Comercio,Baleares,No,diesel,uso particular ocasional,Manual,No
1178,35000-60000,buen clima,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1179,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1180,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Galicia,No,hibrido,uso particular habitual,Automatico,No
1181,20000 - 35000,nieve,playa,Energía,Baleares,No,gasolina,uso particular ocasional,Automatico,No
1182,- 12000,off-road,montaña,Otros,Aragón,No,diesel,uso particular ocasional,Manual,Si
1183,12000 - 20000,off-road,montaña,Entretenimiento y Medios,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,Si
1184,- 12000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1185,20000 - 35000,off-road,montaña,Salud,Castilla y León,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1186,60000 - 100000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
1187,35000-60000,buen clima,ciudad,Transporte y Logística,Madrid,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
1188,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, grande",diesel,uso particular habitual,Manual,No
1189,12000 - 20000,buen clima,playa,Energía,Castilla-La Mancha,No,electrico,viajes largos,Automatico,Si
1190,60000 - 100000,buen clima,montaña,Energía,Aragón,"Si, pequeña",hibrido,uso particular habitual,Automatico,No
1191,20000 - 35000,off-road,montaña,Tecnología,Extremadura,"Si, pequeña",electrico,viajes largos,Manual,Si
1192,35000-60000,buen clima,playa,Comercio,Baleares,"Si, grande",diesel,uso particular ocasional,Automatico,Si
1193,12000 - 20000,off-road,ciudad,Comercio,Aragón,No,diesel,uso particular ocasional,Manual,No
1194,35000-60000,buen clima,montaña,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si
1195,+ 100000,buen clima,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1196,20000 - 35000,buen clima,ciudad,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1197,12000 - 20000,nieve,ciudad,Energía,Asturias,No,diesel,viajes largos,Manual,Si
1198,- 12000,off-road,playa,Otros,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1199,20000 - 35000,buen clima,ciudad,Industria Construccion y Manufactura,Galicia,No,diesel,uso particular habitual,Manual,No
1200,60000 - 100000,buen clima,playa,Otros,Madrid,"Si, grande",diesel,uso particular ocasional,Manual,Si
1201,- 12000,buen clima,montaña,Salud,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1202,20000 - 35000,nieve,montaña,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1203,20000 - 35000,nieve,montaña,Energía,Baleares,"Si, pequeña",diesel,viajes largos,Manual,Si
1204,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Cataluña,"Si, grande",gasolina,uso particular ocasional,Automatico,No
1205,20000 - 35000,buen clima,playa,Salud,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1206,20000 - 35000,buen clima,montaña,Tecnología,Murcia,"Si, pequeña",diesel,uso particular habitual,Manual,No
1207,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Asturias,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
1208,60000 - 100000,buen clima,montaña,Tecnología,Murcia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1209,20000 - 35000,nieve,montaña,Turismo y Ocio,Baleares,"Si, grande",gasolina,uso particular ocasional,Manual,No
1210,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
1211,- 12000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, grande",diesel,viajes largos,Manual,Si
1212,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Extremadura,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1213,60000 - 100000,nieve,montaña,Turismo y Ocio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1214,20000 - 35000,buen clima,montaña,Energía,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,Si
1215,12000 - 20000,buen clima,ciudad,Energía,La Rioja,"Si, grande",gasolina,uso particular habitual,Manual,Si
1216,20000 - 35000,buen clima,playa,Energía,Aragón,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
1217,12000 - 20000,off-road,montaña,Energía,Andalucía,No,diesel,uso particular ocasional,Manual,No
1218,35000-60000,buen clima,playa,Energía,Extremadura,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1219,20000 - 35000,nieve,playa,Entretenimiento y Medios,Extremadura,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
1220,20000 - 35000,buen clima,playa,Comercio,Andalucía,No,gasolina,uso particular ocasional,Manual,Si
1221,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Baleares,"Si, grande",gasolina,viajes largos,Automatico,Si
1222,20000 - 35000,buen clima,ciudad,Salud,Baleares,No,gasolina,uso particular habitual,Manual,No
1223,20000 - 35000,buen clima,playa,Turismo y Ocio,Andalucía,"Si, grande",diesel,viajes largos,Manual,No
1224,60000 - 100000,buen clima,playa,Salud,Cantabria,"Si, grande",diesel,uso particular ocasional,Manual,Si
1225,20000 - 35000,buen clima,montaña,Energía,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1226,20000 - 35000,buen clima,ciudad,Salud,Castilla y León,No,diesel,uso particular ocasional,Manual,Si
1227,60000 - 100000,buen clima,ciudad,Salud,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1228,20000 - 35000,buen clima,ciudad,Comercio,Cantabria,"Si, grande",diesel,viajes largos,Automatico,No
1229,20000 - 35000,buen clima,playa,Industria Construccion y Manufactura,Valencia,No,diesel,uso particular habitual,Manual,Si
1230,12000 - 20000,buen clima,ciudad,Energía,País Vasco,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1231,60000 - 100000,nieve,montaña,Salud,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1232,60000 - 100000,off-road,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
1233,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,Si
1234,- 12000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1235,12000 - 20000,buen clima,playa,Salud,Canarias,No,gasolina,uso particular habitual,Automatico,No
1236,35000-60000,buen clima,montaña,Entretenimiento y Medios,Andalucía,"Si, pequeña",hibrido,uso particular habitual,Automatico,No
1237,60000 - 100000,buen clima,montaña,Energía,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1238,35000-60000,buen clima,ciudad,Salud,País Vasco,No,gasolina,uso particular ocasional,Manual,No
1239,35000-60000,buen clima,montaña,Entretenimiento y Medios,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1240,12000 - 20000,buen clima,montaña,Tecnología,Galicia,No,diesel,viajes largos,Manual,No
1241,20000 - 35000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1242,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",hibrido,uso particular habitual,Automatico,No
1243,20000 - 35000,buen clima,playa,Salud,Aragón,"Si, grande",electrico,uso particular habitual,Automatico,Si
1244,- 12000,buen clima,montaña,Otros,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1245,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1246,12000 - 20000,off-road,montaña,Salud,Baleares,"Si, grande",hibrido,uso particular habitual,Manual,Si
